Sector,Company Name,Company Number,Region,Year Start Date,Year End Date,Number of Weeks,Number of Months,Currency,Consolidated Account,Turnover,Export,Cost of Sales,Gross Profit,Wages and Salaries,Directors Remuneration,Operating Profit,Depreciation,Audit Fees,Interest Expense,Profit Before Tax,Taxation,Profit After Tax,Dividends,Retained Profit,Tangible Assets,Intangible Assets,Total Fixed Assets,Total Current Assets,Trade Debtors,Stock,Cash,Other Current Assets,Increase in Cash,Misc Current Assets,Total Assets,Total Current Liabilities,Trade Creditors,Bank Borrowings Current,Other Short Term Finance,Misc Current Liabilities,Other Long Term Finance,Total Long Term Liabilities,Bank Overdraft and LTL,Total Liabilities,Net Assets,Working Capital,Issued Share Capital,Revenue Reserves,Other Reserves,Revaluation Reserve,Total Shareholders Equity,Net Worth,Net Cash Flow from Operations,Net Cash Flow Before Financing,Net Cash Flow from Financing,Contingent Liabilities,Capital Employed,Capital Employed,Estimated Turnover AI,EBITDA,,Currrent Ratio,ICR,
Creative_Industries,SPARK MARKETING SERVICES LIMITED,9975027,South West,02/01/2024,31/12/2024,52,12,GBP,N,13618430,,11958813,1659617,556801,149050,671800,66,,,671800,-168508,503292,569000,-65708,,6,6,3293018,1101181,751000,,1440837,,,3293024,2946701,1654824,,,1291877,,,,2946701,346323,346317,1000,345323,,,346323,346317,,,,88451000,346323,9,,672814,,1.11752906,#DIV/0!,0.228327883
Creative_Industries,NIMAX THEATRES LIMITED,5493237,London,01/10/2023,29/09/2024,52,12,GBP,N,35508172,,21271162,14237010,13675435,250000,9708515,812455,59300,13496,10079076,-2401396,7677680,1650000,6027680,31480951,170000,31650951,47651712,3817655,153332,30437846,13242879,,,79302663,22376234,2950827,,4358513,15066894,,,913852,23290086,56012577,25275478,1000,56011577,,,56012577,55842577,,,,,56926429,468,,11075027,,3.544057637,8.21,0.494945977
Creative_Industries,MEDIA AGENCY GROUP LIMITED,7022358,London,01/03/2024,28/02/2025,52,12,GBP,N,16298914,1835244,12342609,3956305,2074713,58825,212236,21784,32500,,267702,-85620,182082,10820974,-10638892,231876,,231876,5324420,1088261,,1143790,3092369,-1081138,,5556296,4366052,834178,,,3531874,,55652,55652,4421704,1134592,958368,103,1134489,,,1134592,1134592,9045001,-1081138,,,1190244,26,,460549,,1.272613336,#DIV/0!,0.105484085
Creative_Industries,PROJECT NEARSHORE LIMITED,11294575,North West,02/01/2024,31/12/2024,52,12,GBP,Y,76545961,4934491,49474033,27071928,17064550,192321,12199440,465717,48825,1473891,11282608,-2376207,8906401,6966328,1940073,603540,19130574,19734114,25487218,5634963,27587,16681574,3143094,436461,,45221332,19584069,4552493,,9840525,5191051,1111745,1142973,1142973,20727042,24494290,5903149,824,22452397,2041069,,24494290,5363716,21630241,6545551,-6109090,,25637263,463,,18993833,,2.309087657,0.13,0.969861422
Creative_Industries,SNAPPY SNAPS FRANCHISES LIMITED,2632020,North West,30/09/2023,28/09/2024,52,12,GBP,N,9166731,,5233451,3933280,,,2203329,117440,,,2212857,-559693,1653164,2000000,-346836,502486,791795,1294281,5241076,838630,174437,1151843,3076166,,,6535357,2880636,31782,,850506,1998348,,78698,78698,2959334,3576023,2360440,2,3576021,,,3576023,2784228,,,,,3654721,67,,2368979,,2.268720172,#DIV/0!,0.822380544
Creative_Industries,BLUE YONDER TECHNOLOGY SOLUTIONS (UK) LIMITED,1870973,London,02/01/2024,31/12/2024,52,12,GBP,N,77819000,50122000,42969000,34850000,46386000,,3230000,2119000,76000,,3499000,-1176000,2323000,19000000,-16677000,12396000,2621000,15017000,25504000,17378000,,5393000,2733000,,,40521000,16615000,1970000,,1544000,13101000,,1190000,1190000,17805000,22716000,8889000,1000000,21716000,,,22716000,20095000,,,,,23906000,355,,5916000,,2.438820343,#DIV/0!,0.356063798
Creative_Industries,INNOCEAN WORLDWIDE UK LIMITED,5731592,London,02/01/2024,31/12/2024,52,12,GBP,N,11726542,,2308752,9417790,4866939,501295,2167387,418826,78000,111322,2168452,-595420,1573032,1500000,73032,395025,1998714,2393739,13047470,7907141,,2276155,2864174,,,15441209,10764502,4599624,,656840,5508038,1783878,1841745,1841745,12606247,2834962,2282968,150000,2684962,,,2834962,836248,,,,,4676707,66,,2698600,,1.43445642,0.24,0.250694366
Creative_Industries,DATATEAM BUSINESS MEDIA LIMITED,1771113,South East,02/01/2024,31/12/2024,52,12,GBP,N,9595648,,3504070,6091578,2995447,135468,1322006,47692,33804,126878,1228247,-320512,907735,486000,421735,5999768,2550616,8550384,7119372,1873543,39500,697812,4508517,,,15669756,5711930,608542,33083,2352895,2717410,,443048,476131,6154978,9514778,1407442,50000,9072260,,392518,9514778,6964162,,,,,9957826,83,,1706809,,2.743338241,0.13,0.298814761
Creative_Industries,SUPERAWESOME TRADING LIMITED,3885555,London,02/01/2024,31/12/2024,52,12,GBP,N,27946208,,8883125,19063083,6362411,109303,59503,21907,54500,9469,1335586,3263002,4598588,10777005,-6178417,71012,,71012,45058572,10522607,,3873037,30662928,-4005737,,45129584,18495304,4028663,,6967651,7498990,,5412341,5412341,23907645,21221939,26563268,,21144621,77318,,21221939,21221939,-6286537,-6056412,2050675,,26634280,82,,4629964,,2.440056352,4.89,0.250331868
Defence,FNH UK LIMITED,2093078,London,02/01/2024,31/12/2024,52,12,GBP,N,19452000,,12924000,6528000,4547000,551000,1245000,600000,60000,936000,309000,-84000,225000,,225000,1906000,938000,2844000,26763000,5280000,14450000,62000,6971000,-152000,,29607000,22501000,1077000,,16375000,5049000,661000,731000,731000,23232000,6375000,4262000,50000,6325000,,,6375000,5437000,304000,-1024000,872000,,7106000,77,,2083000,,1.315808186,0.02,0.092573663
